scenario,response,schedule,asymmetry,support,inhibition,seed_7,seed_19,seed_41,seed_73,seed_101,seed_151,seed_211,modal_regime,agreement,seed_disagreement
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,3.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,3.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,4.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,4.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,4.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,4.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,5.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,5.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,5.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,5.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,6.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,6.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,6.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,6.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,7.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,7.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,7.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,7.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,8.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,8.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,8.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,8.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,9.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,9.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,9.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,9.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,10.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,10.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,10.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,10.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,11.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,11.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,11.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,11.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,12.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,12.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,12.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,12.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,13.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,13.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,13.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,13.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.75,14.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,0.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,0.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,0.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,0.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,1.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,1.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,1.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,1.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,2.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,2.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,2.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,2.75,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,3.0,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,3.25,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
logistic_synchronous_symmetric,logistic,synchronous,0.0,-5.5,3.5,collapse,collapse,collapse,collapse,collapse,collapse,collapse,collapse,7,False
