support,opposition,modal_regime,seed_disagreement,symmetric_fixed_point,lambda_symmetric,lambda_antisymmetric,symmetric_fixed_stable,n_collapse,n_equilibrium,n_lock_in,n_oscillation,n_unresolved,regime_transition_candidate,bifurcation_candidate
0.5,3.0,equilibrium,False,0.7829518231,0.1699382658,0.5098147975,True,0,7,0,0,0,False,False
0.5,3.25,equilibrium,False,0.7420246638,0.1435680466,0.6221282019,True,0,7,0,0,0,False,False
0.5,3.5,equilibrium,False,0.7006335936,0.1048730806,0.7341115639,True,0,7,0,0,0,False,False
0.5,3.75,equilibrium,False,0.6604054034,0.0560675266,0.8410128996,True,0,7,0,0,0,False,False
0.5,4.0,equilibrium,False,0.6224593312,0.0000000000,0.9400148488,True,0,7,0,0,0,True,True
0.5,4.25,lock-in,False,0.5873823087,-0.0605910830,1.0300484116,False,0,0,7,0,0,True,True
0.5,4.5,lock-in,False,0.5553530574,-0.1234680195,1.1112121756,False,0,0,7,0,0,False,False
0.5,4.75,lock-in,False,0.5262953409,-0.1869814163,1.1842156365,False,0,0,7,0,0,False,False
0.5,5.0,lock-in,False,0.5000000000,-0.2500000000,1.2500000000,False,0,0,7,0,0,False,False
0.5,5.25,lock-in,False,0.4762041829,-0.3117921989,1.3095272352,False,0,0,7,0,0,False,False
0.5,5.5,lock-in,False,0.4546364270,-0.3719132194,1.3636818044,False,0,0,7,0,0,False,False
0.5,5.75,lock-in,False,0.4350394760,-0.4301152281,1.4132357494,False,0,0,7,0,0,False,False
0.5,6.0,lock-in,False,0.4171800994,-0.4862817281,1.4588451844,False,0,0,7,0,0,False,False
0.5,6.25,lock-in,False,0.4008519009,-0.5403817225,1.5010603402,False,0,0,7,0,0,False,False
0.5,6.5,lock-in,False,0.3858746291,-0.5924384993,1.5403400982,False,0,0,7,0,0,False,False
0.5,6.75,lock-in,False,0.3720919322,-0.6425086970,1.5770668018,False,0,0,7,0,0,False,False
0.5,7.0,lock-in,False,0.3593685796,-0.6906684107,1.6115596251,False,0,0,7,0,0,False,False
0.5,7.25,lock-in,False,0.3475876598,-0.7370040553,1.6440859694,False,0,0,7,0,0,False,False
0.5,7.5,lock-in,False,0.3366479869,-0.7816064193,1.6748708986,False,0,0,7,0,0,False,False
0.5,7.75,lock-in,False,0.3264618023,-0.8245668523,1.7041048282,False,0,0,7,0,0,False,False
0.5,8.0,lock-in,False,0.3169527881,-0.8659748728,1.7319497456,False,0,0,7,0,0,False,False
0.5,8.25,lock-in,False,0.3080543719,-0.9059167224,1.7585442259,False,0,0,7,0,0,False,False
0.5,8.5,lock-in,False,0.2997082940,-0.9444745462,1.7840074762,False,0,0,7,0,0,False,False
0.5,8.75,lock-in,False,0.2918633977,-0.9817259853,1.8084426045,False,0,0,7,0,0,False,False
0.5,9.0,lock-in,False,0.2844746129,-1.0177440376,1.8319392676,False,0,0,7,0,0,False,False
0.5,9.25,lock-in,False,0.2775020988,-1.0525970908,1.8545758266,False,0,0,7,0,0,False,False
0.5,9.5,lock-in,False,0.2709105225,-1.0863490621,1.8764211072,False,0,0,7,0,0,False,False
0.5,9.75,lock-in,False,0.2646684489,-1.1190596010,1.8975358452,False,0,0,7,0,0,False,False
0.5,10.0,lock-in,False,0.2587478246,-1.1507843273,1.9179738788,False,0,0,7,0,0,False,False
0.5,10.25,lock-in,False,0.2531235396,-1.1815750830,1.9377831362,False,0,0,7,0,0,False,False
0.5,10.5,lock-in,False,0.2477730536,-1.2114801887,1.9570064587,False,0,0,7,0,0,True,False
0.5,10.75,oscillation,True,0.2426760777,-1.2405446932,1.9756822892,False,0,0,1,6,0,True,False
0.5,11.0,oscillation,False,0.2378143008,-1.2688106139,1.9938452504,False,0,0,0,7,0,True,False
0.5,11.25,oscillation,False,0.2331711550,-1.2963171640,2.0115266338,False,0,0,0,7,0,True,False
0.5,11.5,oscillation,False,0.2287316128,-1.3231009658,2.0287548142,False,0,0,0,7,0,False,False
0.5,11.75,oscillation,False,0.2244820124,-1.3491962485,2.0455556025,False,0,0,0,7,0,False,False
0.5,12.0,oscillation,False,0.2204099054,-1.3746350319,2.0619525478,False,0,0,0,7,0,False,False
0.5,12.25,oscillation,False,0.2165039246,-1.3994472957,2.0779671966,False,0,0,0,7,0,False,False
0.5,12.5,oscillation,False,0.2127536690,-1.4236611353,2.0936193166,False,0,0,0,7,0,False,False
0.5,12.75,oscillation,False,0.2091496025,-1.4473029048,2.1089270899,False,0,0,0,7,0,False,False
0.5,13.0,oscillation,False,0.2056829654,-1.4703973485,2.1239072811,False,0,0,0,7,0,False,False
0.5,13.25,oscillation,False,0.2023456967,-1.4929677207,2.1385753838,False,0,0,0,7,0,False,False
0.5,13.5,oscillation,False,0.1991303652,-1.5150358970,2.1529457483,False,0,0,0,7,0,False,False
0.5,13.75,oscillation,False,0.1960301085,-1.5366224743,2.1670316946,False,0,0,0,7,0,False,False
0.5,14.0,oscillation,False,0.1930385797,-1.5577468645,2.1808456103,False,0,0,0,7,0,False,False
0.75,0.0,equilibrium,False,0.9911149442,0.0352244462,0.0000000000,True,0,7,0,0,0,False,False
0.75,0.25,equilibrium,False,0.9885359601,0.0424973088,0.0028331539,True,0,7,0,0,0,False,False
0.75,0.5,equilibrium,False,0.9851997313,0.0510342725,0.0072906104,True,0,7,0,0,0,False,False
0.75,0.75,equilibrium,False,0.9808828913,0.0609428459,0.0140637337,True,0,7,0,0,0,False,False
0.75,1.0,equilibrium,False,0.9752989127,0.0722728308,0.0240909436,True,0,7,0,0,0,False,False
0.75,1.25,equilibrium,False,0.9680846615,0.0849660616,0.0386209371,True,0,7,0,0,0,False,False
0.75,1.5,equilibrium,False,0.9587892929,0.0987809617,0.0592685770,True,0,7,0,0,0,False,False
0.75,1.75,equilibrium,False,0.9468721234,0.1131869369,0.0880342843,True,0,7,0,0,0,False,False
0.75,2.0,equilibrium,False,0.9317217900,0.1272325920,0.1272325920,True,0,7,0,0,0,False,False
0.75,2.25,equilibrium,False,0.9127155742,0.1394152459,0.1792481733,True,0,7,0,0,0,False,False
0.75,2.5,equilibrium,False,0.8893391713,0.1476225145,0.2460375242,True,0,7,0,0,0,False,False
0.75,2.75,equilibrium,False,0.8613695605,0.1492650510,0.3283831121,True,0,7,0,0,0,False,False
0.75,3.0,equilibrium,False,0.8290732238,0.1417108134,0.4251324401,True,0,7,0,0,0,False,False
0.75,3.25,equilibrium,False,0.7933078538,0.1229778772,0.5329041345,True,0,7,0,0,0,False,False
0.75,3.5,equilibrium,False,0.7554156371,0.0923814262,0.6466699831,True,0,7,0,0,0,False,False
0.75,3.75,equilibrium,False,0.7169189919,0.0507365377,0.7610480660,True,0,7,0,0,0,False,False
0.75,4.0,equilibrium,False,0.6791786992,0.0000000000,0.8715799750,True,0,7,0,0,0,False,False
0.75,4.25,equilibrium,False,0.6431825677,-0.0573746881,0.9753696973,True,0,7,0,0,0,True,True
0.75,4.5,lock-in,False,0.6095082995,-0.1190039662,1.0710356955,False,0,0,7,0,0,True,True
0.75,4.75,lock-in,False,0.5783982119,-0.1828902903,1.1583051717,False,0,0,7,0,0,False,False
0.75,5.0,lock-in,False,0.5498669333,-0.2475132890,1.2375664448,False,0,0,7,0,0,False,False
0.75,5.25,lock-in,False,0.5237958171,-0.3117921989,1.3095272352,False,0,0,7,0,0,False,False
0.75,5.5,lock-in,False,0.5000000000,-0.3750000000,1.3750000000,False,0,0,7,0,0,False,False
0.75,5.75,lock-in,False,0.4782703971,-0.4366736926,1.4347849900,False,0,0,7,0,0,False,False
0.75,6.0,lock-in,False,0.4583976038,-0.4965384813,1.4896154438,False,0,0,7,0,0,False,False
0.75,6.25,lock-in,False,0.4401842119,-0.5544496609,1.5401379469,False,0,0,7,0,0,False,False
0.75,6.5,lock-in,False,0.4234502460,-0.6103503379,1.5869108786,False,0,0,7,0,0,False,False
0.75,6.75,lock-in,False,0.4080347542,-0.6642415823,1.6304111566,False,0,0,7,0,0,False,False
0.75,7.0,lock-in,False,0.3937953816,-0.7161617371,1.6710440532,False,0,0,7,0,0,False,False
0.75,7.25,lock-in,False,0.3806069826,-0.7661722490,1.7091534786,False,0,0,7,0,0,False,False
0.75,7.5,lock-in,False,0.3683598577,-0.8143480553,1.7450315471,False,0,0,7,0,0,False,False
0.75,7.75,lock-in,False,0.3569579276,-0.8607711207,1.7789269828,False,0,0,7,0,0,False,False
0.75,8.0,lock-in,False,0.3463169981,-0.9055261397,1.8110522794,False,0,0,7,0,0,False,False
0.75,8.25,lock-in,False,0.3363631866,-0.9486977216,1.8415896948,False,0,0,7,0,0,False,False
0.75,8.5,lock-in,False,0.3270315306,-0.9903685887,1.8706962230,False,0,0,7,0,0,False,False
0.75,8.75,lock-in,False,0.3182647756,-1.0306184641,1.8985076970,False,0,0,7,0,0,False,False
0.75,9.0,lock-in,False,0.3100123307,-1.0695234276,1.9251421697,False,0,0,7,0,0,False,False
0.75,9.25,lock-in,False,0.3022293714,-1.1071555868,1.9507027006,False,0,0,7,0,0,False,False
0.75,9.5,lock-in,False,0.2948760723,-1.1435829585,1.9752796555,False,0,0,7,0,0,False,False
0.75,9.75,lock-in,False,0.2879169514,-1.1788694879,1.9989526098,False,0,0,7,0,0,False,False
0.75,10.0,lock-in,False,0.2813203092,-1.2130751570,2.0217919284,False,0,0,7,0,0,False,False
0.75,10.25,lock-in,False,0.2750577485,-1.2462561469,2.0438600809,False,0,0,7,0,0,True,False
0.75,10.5,oscillation,True,0.2691037632,-1.2784650309,2.0652127422,False,0,0,1,6,0,True,False
0.75,10.75,oscillation,False,0.2634353847,-1.3097509837,2.0858997148,False,0,0,0,7,0,False,False
0.75,11.0,oscillation,False,0.2580318779,-1.3401599951,2.1059657067,False,0,0,0,7,0,False,False
0.75,11.25,oscillation,False,0.2528744787,-1.3697350813,2.1254509883,False,0,0,0,7,0,False,False
0.75,11.5,oscillation,False,0.2479461671,-1.3985164899,2.1443919512,False,0,0,0,7,0,False,False
0.75,11.75,oscillation,False,0.2432314700,-1.4265418955,2.1628215835,False,0,0,0,7,0,False,False
